,dataset,strategy,accuracy_mean,accuracy_stderr
93,Trace,pca_randf,0.82,0.03861229196653691
94,TwoLeadECG,pca_randf,0.8542581211589113,0.010459612828448902
95,TwoPatterns,pca_randf,0.77875,0.006563945514717505
96,UMD,pca_randf,0.8333333333333334,0.031164899666948572
97,UWaveGestureLibraryAll,pca_randf,0.4944165270798437,0.008354890526389002
98,UWaveGestureLibraryX,pca_randf,0.6864879955332217,0.007752493316162636
99,UWaveGestureLibraryY,pca_randf,0.5896147403685092,0.008220114789761233
100,UWaveGestureLibraryZ,pca_randf,0.6239530988274706,0.008094589318377669
101,Wafer,pca_randf,0.9902660609993511,0.0012506165561816229
102,Wine,pca_randf,0.7962962962962963,0.055322127819126765
103,WordSynonyms,pca_randf,0.2727272727272727,0.017645875856798894
104,Worms,pca_randf,0.5714285714285714,0.05676567244564473
105,WormsTwoClass,pca_randf,0.6233766233766234,0.05558045481956561
106,Yoga,pca_randf,0.6186666666666667,0.008869364649389231
